3.714198619127273560e-02,2.520796060562133789e-01
-4.789542406797409058e-02,-1.141104623675346375e-01
-3.719054162502288818e-01,-5.289446189999580383e-02
-2.921502888202667236e-01,-3.984094560146331787e-01
-2.017276287078857422e-01,7.599669694900512695e-02
1.758130192756652832e-01,3.518340587615966797e-01
-1.340082264505326748e-03,-2.788236439228057861e-01
-3.398573398590087891e-01,1.968204528093338013e-01
-1.100924611091613770e-01,-5.625274777412414551e-02
-2.305800467729568481e-01,3.276403546333312988e-01
-3.286845386028289795e-01,5.979837849736213684e-02
-1.436027288436889648e-01,2.107664942741394043e-01
8.487065136432647705e-02,-4.172069951891899109e-03
6.198546849191188812e-03,2.371576279401779175e-01
2.604441046714782715e-01,2.679723501205444336e-01
-1.384915411472320557e-01,-2.592086195945739746e-01
-1.194260492920875549e-01,-4.203026294708251953e-01
6.770454347133636475e-02,1.206600442528724670e-01
-6.824361532926559448e-02,8.718030899763107300e-02
-2.229682952165603638e-01,-1.638482511043548584e-01
-3.599378168582916260e-01,2.557639777660369873e-01
-1.631411910057067871e-01,3.145849704742431641e-01
2.644298970699310303e-01,-2.153027802705764771e-01
8.521727472543716431e-02,4.133487120270729065e-02
-3.154114261269569397e-02,-1.814854890108108521e-02
1.423388272523880005e-01,3.957348763942718506e-01
-6.551275402307510376e-02,-1.003329977393150330e-01
2.008869498968124390e-01,-1.040153577923774719e-01
1.445347070693969727e-01,1.695268452167510986e-01
-1.712978780269622803e-01,-1.234956756234169006e-01
-3.760411739349365234e-01,7.489787787199020386e-02
3.226050138473510742e-01,-2.619780302047729492e-01
